,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
2019-04-14,BTC,ETH,XRP,BCH,LTC,EOS,BNB,USDT,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,NEO,ETC,ONT,MKR,XEM,ZEC,CRO,VET,BAT,DOGE,BTG,WAVES,OMG,QTUM,USDC,DCR,LSK,REP,NANO,RVN,TUSD,ZRX,LINK,ZIL,ICX,BTS,BCN,IOST,BCD,HOT,DGB,AE,XVG,NPXS,STEEM,BTT,SC,HT,ENJ,BTM,KMD,MXM,STRAT,PAX,KCS,THETA,AOA,ABBC,DGTX,SNT,XIN,SAI,INB,GNT,WTC,PAI,FCT,WAXP,ARDR,PPT,GXC,CNX,QBIT,ARK,MCO,HC,THR,GUSD,NAS,LRC,VEST,MAID,R,LAMB,ELA,XZC,MANA,NULS,TRUE,LOOM,AION,ETN,PIVX,WICC,ELF,QASH,POWR,RDD,REPO,KNC,ZEN,NEXO,BIX,WAN,BNT,ETP,MOAC,MONA,DGD,DENT,POLY,ENG,RLC,QKC,ODE,SAN,STORJ,BCZERO,RIF,IOTX,LA,TOMO,DAC,FUN,CELR,KIN,GBYTE,EURS,PAY,NXT,LKY,TTC,CMT,SYS,GAS,GRS,VERI,CENNZ,APL,QNT,XWC,META,LBA,CTXC,MFT,S4F,CREDO,MHC,CVC,CND,BRD,DRGN,ABT,CLAM,OCN,ECOREAL,XPX,VTC,TCT,MITH,WABI,AGI,MEDX,NEBL,MDA,NEC,MAN,NXS,GRIN,COSM,MTL,TEL,SXDT,KAN,NRG,HPB,REQ,SKY,C20,ANKR,EDR,INO,STORM,FSN,GTO,BFT,WGR,TKN,ANT,PART,SMART,BCV,EMC2,EVX
2019-04-21,BTC,ETH,XRP,BCH,EOS,LTC,BNB,USDT,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,NEO,ETC,ONT,MKR,XEM,BAT,ZEC,CRO,VET,DOGE,BTG,OMG,WAVES,USDC,DCR,QTUM,LSK,REP,NANO,RVN,TUSD,BCD,HOT,ZRX,ZIL,LINK,ICX,IOST,BTS,BCN,BTT,DGB,ENJ,AE,NPXS,XVG,STEEM,KMD,HT,MXM,SC,BTM,PAX,KCS,WTC,STRAT,AOA,THETA,DGTX,GNT,FCT,SNT,XIN,SAI,ABBC,INB,MCO,ARDR,CNX,GXC,WAXP,QBIT,PAI,MONA,PPT,ARK,VEST,MAID,THR,GUSD,R,ELF,ELA,NULS,MANA,XZC,HC,LRC,AION,NAS,LOOM,DGD,BIX,POWR,PIVX,ETN,WICC,RDD,KNC,TRUE,QASH,QKC,NEXO,REPO,DENT,MOAC,BNT,POLY,WAN,RLC,ZEN,ETP,TFUEL,LAMB,ODE,SAN,LA,ENG,IOTX,KIN,RIF,EURS,TOMO,STORJ,FUN,CELR,GBYTE,BCZERO,NXT,VERI,SYS,GRS,GAS,PAY,CMT,LKY,META,CLAM,DAC,MITH,LBTC,LBA,CND,BRD,APL,DRGN,ECOREAL,CVC,CTXC,PART,XPX,TKN,S4F,QNT,MFT,NEBL,AGI,TCT,ABT,VTC,GBC,GRIN,MEDX,C20,OCN,TPAY,MTL,TOP,COSM,SXDT,SLT,NXS,SOLVE,MAN,MDA,INO,GTO,TEL,TTC,SKY,MHC,NRG,POE,BFT,SMART,REQ,ANKR,NEC,GO,WABI,EDR,STORM,FET,UTT
2019-04-28,BTC,ETH,XRP,BCH,EOS,LTC,BNB,USDT,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,ETC,NEO,ONT,MKR,XEM,BAT,CRO,ZEC,VET,DOGE,USDC,BTG,REP,DCR,OMG,QTUM,TUSD,WAVES,NANO,LSK,RVN,BCD,HOT,ICX,ZRX,BCN,LINK,ZIL,BTS,BTT,PAX,IOST,DGB,NPXS,XVG,ENJ,AE,HT,KMD,STEEM,SC,KCS,AOA,BTM,MXM,THETA,WTC,STRAT,SAI,FCT,SNT,ABBC,INB,XIN,CNX,MCO,GNT,MONA,ARDR,QBIT,THR,WAXP,ORBS,VEST,GXC,MAID,PAI,PPT,DGD,ODE,ARK,ELF,AION,GUSD,MANA,NULS,DENT,HC,LOOM,LRC,ZEN,RDD,XZC,NAS,ETN,NET,TRUE,POWR,NEXO,ELA,R,MOAC,WICC,SAN,ETP,TOMO,QASH,KNC,CSC,BNT,QKC,WAN,PIVX,EURS,RLC,RIF,POLY,BIX,FUN,TFUEL,KIN,LAMB,UGAS,LA,DAC,STORJ,ECOREAL,SYS,VERI,CLAM,ENG,GBYTE,NXT,LBA,LKY,PAY,BCZERO,ILC,META,IOTX,CELR,BRD,GRS,CMT,MITH,GAS,DGTX,XPX,QNT,CND,PART,CVC,S4F,UNO,DRGN,NRG,APL,LBTC,TCT,DTR,CTXC,MAN,MTL,AGI,TEL,ABT,WABI,MEDX,TKN,C20,NXS,ANKR,GRIN,MFT,EMC2,NEBL,MDA,VTC,INO,TPAY,OCN,COSM,GTO,SLT,SXDT,SMART,EKT,ANT,UTK,WGR,SKY,FSN,B2G,PLC
2019-05-05,BTC,ETH,XRP,BCH,LTC,EOS,BNB,USDT,XLM,ADA,TRX,XMR,DASH,BSV,ATOM,MIOTA,XTZ,ETC,NEO,ONT,MKR,XEM,BAT,CRO,ZEC,VET,BTG,DOGE,USDC,DCR,TUSD,REP,OMG,QTUM,WAVES,LSK,NANO,PAX,BCN,LINK,RVN,BCD,HOT,ICX,ZRX,BTS,ZIL,NPXS,BTT,IOST,AE,DGB,KMD,HT,AOA,XVG,ENJ,SC,STEEM,KCS,BTM,ABBC,INB,FCT,WTC,SAI,STRAT,MCO,XIN,THETA,QBIT,SNT,CNX,THR,VEST,GNT,ARDR,MONA,MXM,MAID,DGD,WAXP,GXC,ZEN,AION,PAI,MANA,ORBS,ELF,ARK,PPT,ETN,TRUE,HC,NULS,ODE,R,LOOM,XZC,ELA,DENT,LRC,NEXO,SAN,GUSD,RLC,RDD,POWR,NET,NAS,QASH,REPO,WICC,MOAC,ETP,KIN,KNC,CLAM,WAN,EURS,FUN,BNT,BRD,UGAS,POLY,TOMO,PIVX,EKT,IOTX,SYS,BIX,ABT,STORJ,NXT,LBA,LA,CSC,LAMB,ENG,TFUEL,LKY,PAY,GBYTE,BCZERO,QKC,VERI,MHC,RIF,NRG,PART,META,ECOREAL,GRS,GAS,XPX,DAC,UNO,GBC,CMT,DGTX,LBTC,ILC,SOLVE,MFT,CVC,TEL,CND,FSN,QNT,APL,DRGN,TCT,CELR,MEDX,CTXC,MITH,GRIN,VTC,AGI,S4F,NXS,INO,MTL,UTK,C20,BFT,WABI,TOP,B2G,ANT,TPAY,SXDT,MAN,NEBL,ROX,EMC2,GNO,ANKR,OCN,MDA
2019-05-12,BTC,ETH,XRP,BCH,LTC,EOS,BNB,USDT,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,ATOM,ETC,NEO,ONT,MKR,XEM,BAT,ZEC,BTG,CRO,VET,USDC,DOGE,DCR,WAVES,TUSD,OMG,QTUM,LINK,REP,NANO,LSK,PAX,BCN,BCD,RVN,HOT,ZRX,ICX,IOST,BTS,ABBC,ZIL,BTT,NPXS,KMD,DGB,AE,HT,XVG,SC,INB,ENJ,AOA,BTM,STEEM,KCS,THR,QBIT,FCT,CNX,SAI,XIN,ZEN,VEST,WTC,STRAT,MCO,SNT,THETA,ARDR,DGD,MAID,GNT,TRUE,AION,GXC,MONA,MXM,PAI,WAXP,ELF,ARK,ABT,PPT,SAN,DENT,ETP,JCT,RLC,MANA,ORBS,R,RDD,ELA,XZC,CLAM,NET,HC,SOLVE,NULS,LOOM,LRC,WICC,NEW,QASH,POWR,NEXO,NAS,BRD,ETN,ODE,MOAC,PART,BNT,WAN,KNC,EURS,KIN,POLY,UGAS,FUN,LA,NRG,XPX,PIVX,CSC,EKT,NXT,IOTX,BCZERO,CENNZ,GUSD,TOMO,STORJ,UNO,ENG,ECOREAL,GBYTE,BIX,SYS,VERI,LAMB,REPO,LKY,RIF,MFT,C20,SXDT,GBC,GRS,CMT,PAY,GAS,ICN,TFUEL,APL,LBA,QKC,ILC,FSN,MHC,CVC,DRGN,META,ANT,CTXC,UTK,TEL,LBTC,ROX,CND,DROP,QNT,CELR,WGR,TCT,INO,VTC,AGI,MEDX,EMC2,BFT,MITH,GNO,S4F,GRIN,TPAY,HYN,DAC,SLT,RHOC,NEBL,MTL
2019-05-19,BTC,ETH,XRP,BCH,EOS,LTC,BNB,USDT,XLM,ADA,TRX,XMR,DASH,XTZ,MIOTA,BSV,ATOM,ETC,XEM,NEO,ONT,MKR,ZEC,BAT,VET,BTG,CRO,DOGE,USDC,LINK,QTUM,DCR,OMG,WAVES,IOST,AE,SC,HT,ABBC,AOA,KMD,BTM,QBIT,INB,ENJ,STEEM,THR,THETA,SNT,KCS,WTC,CNX,STRAT,GNT,FCT,MAID,ZEN,SAI,XIN,ELF,MCO,VEST,ARDR,DENT,PAI,TRUE,MONA,DGD,SOLVE,WAXP,AION,ARK,GXC,ABT,SAN,CLAM,LA,MANA,ETP,HC,LRC,XZC,NET,RDD,LOOM,ELA,PPT,NAS,NEW,MOAC,CCC,NULS,ORBS,POWR,MXM,R,JCT,WICC,ETN,VERI,BNT,REPO,QASH,RLC,MATIC,BRD,KNC,WAN,ODE,FUN,CELR,SYS,POLY,NRG,PART,NEXO,TOMO,IOTX,BCZERO,PIVX,KIN,STORJ,SXDT,EURS,BIX,ENG,UGAS,LAMB,NXT,RIF,CMT,UNO,INO,UTK,LKY,XPX,GRS,EKT,C20,TFUEL,CSC,PAY,MHC,CVC,FSN,MFT,GBYTE,MEDX,META,CTXC,MITH,ECOREAL,QKC,GAS,HYN,CND,ROX,ILC,FTM,GRIN,EMC2,GNO,ICN,BFT,QRL,LBTC,AGI,GUSD,LBA,NXS,ANT,VTC,SKY,DGTX,DRGN,CWV,DTR,APL,TEL,EDO,TPAY,DROP,QNT,TUSD,REP,NANO,LSK,PAX,BCN,BCD,RVN,HOT,ZRX,ICX,BTS,ZIL,BTT,NPXS,DGB,XVG
2019-05-26,BTC,ETH,XRP,BCH,LTC,EOS,BNB,USDT,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,ATOM,ETC,XEM,NEO,MKR,ONT,ZEC,BAT,CRO,BTG,VET,LINK,DOGE,USDC,BTT,OMG,QTUM,DCR,NPXS,HT,AE,IOST,SC,ABBC,KMD,BTM,QBIT,STEEM,ENJ,DENT,THR,THETA,MAID,XIN,STRAT,KCS,SNT,INB,CNX,GNT,MCO,WTC,SOLVE,ELF,VEST,ARDR,SAI,FCT,TRUE,PAI,WAXP,ARK,MONA,ZEN,DGD,GXC,ETP,TFUEL,MXM,MANA,SAN,R,LRC,AION,ELA,LOOM,LA,ORBS,HC,NULS,XZC,PPT,NET,MATIC,MOAC,RDD,POWR,ABT,NEW,CCC,KNC,ODE,QASH,WICC,BNT,BRD,NEXO,JCT,REPO,VERI,WAN,POLY,NAS,FUN,ETN,STORJ,CSC,CELR,PIVX,IOTX,SYS,BCZERO,RLC,BIX,NRG,EURS,ENG,RIF,TOMO,UTK,PART,EKT,CMT,MITH,FTM,NXT,GRS,KIN,LAMB,UNO,C20,SXDT,XPX,HEDG,CTXC,GAS,CVC,QKC,GBC,ECOREAL,PAY,LKY,MFT,SKY,FSN,INO,NOAH,ILC,GBYTE,EGT,CND,GRIN,HYN,CLAM,ROX,DGTX,DTR,AGI,MEDX,GNO,EDO,QNT,EMC2,UGAS,META,LBTC,PHX,VTC,MHC,IQ,APL,BFT,DCN,REN,ANT,TEL,GUSD,WAVES,AOA,ICN,QRL,LBA,NXS,DRGN,CWV,TPAY,DROP,TUSD,REP,NANO,LSK,PAX,BCN,BCD
2019-06-02,BTC,ETH,XRP,BCH,EOS,LTC,BNB,BSV,USDT,XLM,TRX,ADA,XMR,DASH,MIOTA,ATOM,ETC,XTZ,NEO,XEM,ONT,MKR,ZEC,CRO,BTG,BAT,VET,DOGE,LINK,BTT,QTUM,USDC,OMG,HOT,DCR,WAVES,RVN,BCD,LSK,TUSD,NANO,REP,NPXS,ICX,ZRX,MONA,DGB,BCN,BTS,ZIL,KMD,AOA,PAX,XVG,HT,IOST,WTC,GNT,CNX,ARDR,INB,VEST,TRUE,SAI,ELF,HC,ETP,FCT,WAXP,PAI,ZEN,AION,DGD,GXC,ARK,NEX,LA,LRC,LOOM,MANA,HEDG,R,ORBS,NEXO,XZC,NULS,NET,TFUEL,PPT,WAN,NEW,ELA,WICC,POWR,RDD,MOAC,CELR,ODE,JCT,KNC,BNT,QASH,ABT,CCC,POLY,MATIC,NAS,SAN,BRD,SYS,FUN,ETZ,PIVX,IOTX,NRG,UTK,ETN,FTM,STORJ,BCZERO,QKC,RLC,CSC,ENG,EURS,NXT,LAMB,ECOREAL,UGAS,EKT,VERI,GAS,RHOC,RIF,SNX,BIX,META,GRS,TOMO,REPO,C20,REN,PART,CMT,DAPS,EGT,CTXC,QRL,CVC,PAY,SKY,GBYTE,UNO,FSN,CND,INO,MFT,AGI,KIN,IPC,GRIN,MITH,GNO,MEDX,CLAM,XPX,HYN,EDO,ADS,COSM,VTC,ROX,EMC2,MHC,GTO,ANT,CAJ,BFT,DTR,ITC,NXS,TEL,AE,SC,ABBC,BTM,QBIT,STEEM,ENJ,DENT,THR,THETA,MAID,XIN,STRAT,KCS,SNT,MCO,SOLVE,MXM
2019-06-09,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,USDT,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,ETC,NEO,XTZ,MKR,XEM,ONT,ZEC,BTG,CRO,BAT,VET,LINK,DOGE,USDC,QTUM,OMG,DCR,TUSD,BTT,HOT,RVN,WAVES,LSK,BCD,NANO,REP,NPXS,ZIL,ZRX,KMD,PAX,ICX,BCN,BTS,DGB,AOA,HT,MONA,GXC,XVG,AE,BTM,IOST,DENT,SC,STEEM,SOLVE,QBIT,THETA,ENJ,ABBC,ETP,HC,SNT,KCS,ARDR,THR,MCO,STRAT,ELF,WAXP,WTC,GNT,MAID,MXM,SAI,HEDG,CNX,TRUE,INB,XIN,VEST,PAI,ARK,NAS,ZEN,NULS,LOOM,DGD,LRC,MANA,XZC,AION,NEX,MATIC,FCT,SAN,NEXO,ELA,ODE,NEW,PPT,ORBS,CCC,R,TFUEL,CELR,POWR,LA,NET,WICC,RDD,EGT,MOAC,ETN,WAN,IPC,KNC,IGNIS,FUN,NRG,ECOREAL,BNT,PIVX,QASH,EKT,LAMB,POLY,BRD,BCZERO,FTM,GRIN,FSN,ENG,ABT,STORJ,QKC,EURS,IOTX,ETZ,REPO,NXT,REN,QNT,SYS,SNX,RLC,META,RIF,DGTX,VERI,GRS,GAS,JCT,CSC,ITC,RHOC,PAY,VTC,CVC,MFT,CTXC,C20,UTK,TOMO,BIX,CPT,CMT,CENNZ,MHC,COSM,UGAS,APL,CND,PART,INO,GNO,GBYTE,AGI,MEDX,SKY,EMC2,NKN,MITH,TTC,NOAH,EDO,BHP,DTR,ICN,UNO,XPX,NXS,BFT
2019-06-16,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,USDT,XLM,ADA,TRX,XMR,DASH,ATOM,MIOTA,NEO,ETC,XTZ,XEM,MKR,ONT,ZEC,LINK,BTG,CRO,BAT,VET,DOGE,QTUM,USDC,OMG,BTT,DCR,LSK,WAVES,TUSD,RVN,HOT,BCD,ZIL,NPXS,ZRX,NANO,REP,BTM,AOA,KMD,BCN,PAX,ICX,HT,BTS,DGB,KCS,QBIT,DENT,XVG,AE,IOST,MONA,GXC,STEEM,ETP,SC,SOLVE,THR,HC,ENJ,THETA,ELF,STRAT,HEDG,ARDR,SNT,MCO,XIN,GNT,ABBC,WAXP,VEST,XZC,INB,SAI,TRUE,NEX,MXM,CNX,WTC,MAID,PAI,NAS,EGT,NULS,ZEN,NRG,ODE,SAN,ARK,GRIN,LOOM,CCC,LRC,MANA,NEXO,DGD,ETN,ELA,ORBS,TT,RDD,AION,R,FCT,FSN,LAMB,QASH,PPT,CELR,NET,WICC,POWR,QKC,MATIC,FTM,EKT,LA,TFUEL,WAN,ITC,MOAC,BNT,KNC,ETZ,NEW,PIVX,ENG,IPC,POLY,ABT,FUN,JCT,CMT,META,QNT,STORJ,REN,DGTX,BRD,REPO,IGNIS,BCZERO,MITH,IOTX,CTXC,NXT,EURS,ECOREAL,GAS,SYS,TOMO,C20,UGAS,CSC,RLC,GRS,RIF,CENNZ,VERI,CVC,BIX,PAY,MHC,LTO,SNX,MFT,LBA,VTC,CND,ICN,EDO,COSM,GBYTE,LINA,UNO,INO,EMC2,HYN,BHP,MTL,GNO,QRL,MEDX,APL,AGI,DTR,ROX,SKY,BTU,BFT
2019-06-23,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,USDT,ADA,TRX,XLM,XMR,LEO,DASH,ATOM,MIOTA,NEO,ETC,XEM,XTZ,ONT,ZEC,MKR,LINK,BTG,CRO,BAT,VET,DOGE,QTUM,USDC,DCR,OMG,MONA,ZIL,AOA,QBIT,DGB,HC,ICX,GXC,PAX,KMD,KCS,XVG,IOST,THR,AE,INB,STEEM,SC,ETP,ARDR,EGT,THETA,ABBC,XIN,VEST,ENJ,ELF,SNT,NRG,XZC,NEX,MCO,SOLVE,STRAT,GNT,MAID,WAXP,GRIN,NAS,SAI,TRUE,LAMB,SAN,PAI,MXM,ZEN,RDD,EKT,NULS,ODE,ELA,QASH,FSN,TT,CTXC,BCZERO,PPT,POWR,LA,BNT,ENG,CELR,AION,MATIC,JCT,KNC,REN,ETZ,DGTX,FTM,ECOREAL,NEW,TFUEL,PIVX,META,MOAC,IPC,ABT,POLY,WAN,SNX,QKC,NXT,STORJ,CMT,EURS,TOMO,FUN,C20,BRD,VERI,ITC,GAS,IOTX,CENNZ,ICN,RIF,XMX,PLC,UNO,CSC,GRS,EDO,VTC,LINA,UGAS,HYN,LBA,BIX,SYS,CVC,MITH,SKY,MTL,MHC,RLC,ARRR,PAY,INO,GNO,BHP,GBYTE,COSM,DAPS,EMC2,MFT,MEDX,NXS,LTO,BOS,BOTX,AGI,BTT,LSK,WAVES,TUSD,RVN,HOT,BCD,NPXS,ZRX,NANO,REP,BTM,BCN,HT,BTS,DENT,HEDG,CNX,WTC,ARK,LOOM,CCC,LRC,MANA,NEXO,DGD,ETN,ORBS,R,FCT,NET,WICC,QNT,REPO
2019-06-30,BTC,ETH,XRP,LTC,BCH,EOS,BNB,USDT,BSV,TRX,ADA,XLM,LEO,XMR,DASH,LINK,NEO,MIOTA,ATOM,ETC,XEM,ZEC,ONT,MKR,XTZ,QTUM,BTG,CRO,VET,DOGE,BAT,USDC,OMG,DCR,VSYS,BTT,HOT,AOA,TUSD,LSK,BCD,HT,RVN,HC,NPXS,EGT,HEDG,WAVES,ZRX,REP,QBIT,BTS,PAX,BCN,NANO,MONA,BTM,KMD,IOST,ICX,ZIL,THR,DGB,KCS,NRG,SC,ETP,AE,ABBC,XIN,XVG,GXC,STEEM,ARDR,INB,DENT,VEST,LAMB,THETA,ELF,MAID,ENJ,SNT,MCO,GNT,NEX,XZC,EKT,SAI,STRAT,QNT,SOLVE,WAXP,ELA,MXM,NAS,PAI,SAN,GRIN,NEXO,ZEN,CCC,R,NULS,NET,WTC,ODE,CNX,REN,RDD,IGNIS,DGD,MANA,LA,QASH,ARK,FCT,TRUE,LOOM,WICC,QKC,CELR,ORBS,LRC,MATIC,FTM,BCZERO,ONE,FSN,XMX,TT,UUU,BNT,ETN,REPO,POWR,BEAM,KNC,ETZ,BIX,JCT,ENG,AION,ECOREAL,IPC,WAN,EURS,CTXC,POLY,TOMO,TFUEL,ABT,PIVX,STORJ,NEW,MOAC,RIF,HYC,DGTX,IHT,PPT,GAS,CMT,FUN,C20,VERI,NXT,SNX,CENNZ,RLC,BRD,CSC,LINA,SKY,IOTX,HYN,INO,GRS,APL,META,BOX,ICN,RUFF,UGAS,VTC,EDO,SYS,TNT,GNO,BHP,CVC,MTL,BTU,MEDX,GBYTE,EMC2,MITH,PAY,ITC,LBA
2019-07-07,BTC,ETH,XRP,LTC,BCH,EOS,BNB,USDT,BSV,TRX,ADA,XLM,XMR,LEO,DASH,NEO,LINK,MIOTA,ATOM,ETC,XEM,XTZ,ZEC,MKR,ONT,CRO,QTUM,BTG,DOGE,VET,BAT,USDC,OMG,VSYS,DCR,BTT,HOT,EGT,TUSD,HC,BCD,HEDG,WAVES,RVN,LSK,NPXS,HT,KMD,AOA,QBIT,ZRX,BTM,NANO,ICX,BCN,DGB,REP,BTS,PAX,IOST,THR,MONA,ZIL,NRG,KCS,LAMB,SC,ABBC,ETP,XIN,GXC,AE,XVG,STEEM,QNT,SOLVE,ARDR,ELF,INB,THETA,WTC,NEX,SNT,ENJ,MCO,DENT,MAID,XZC,SAI,VEST,GNT,EKT,STRAT,NET,NAS,CCC,WAXP,ELA,RET,NULS,SAN,MXM,PAI,R,ZEN,REN,GRIN,XMX,ODE,NEXO,RDD,MANA,PPT,IGNIS,LOOM,ARK,FSN,ETN,DGD,LA,ORBS,WICC,LRC,QASH,ENG,BCZERO,FTM,CELR,TT,BNT,TOMO,AION,POWR,CMT,RIF,FCT,TRUE,REPO,KNC,WAN,QKC,BEAM,ECOREAL,JCT,ETZ,PIVX,MATIC,ONE,TFUEL,IPC,BIX,STORJ,SNX,EURS,CTXC,ABT,NEW,UUU,POLY,MOAC,VERI,CNX,CSC,GAS,C20,CRPT,NXT,DGTX,BRD,IOTX,CENNZ,UNO,HYN,MTL,RLC,INO,META,BTU,UGAS,BHP,APL,GRS,RHOC,FUN,PLC,GNO,ICN,EDO,CVC,FX,HYC,TNT,MITH,PAY,AGVC,KAN,ITC,SKY,SYS,LBA
2019-07-14,BTC,ETH,XRP,LTC,BCH,BNB,USDT,EOS,BSV,TRX,XLM,ADA,XMR,LEO,DASH,LINK,NEO,MIOTA,ATOM,ETC,XTZ,MKR,CRO,ZEC,XEM,ONT,BTG,USDC,DOGE,VSYS,EGT,BAT,VET,QTUM,DCR,OMG,TUSD,BTT,HT,HEDG,HOT,RVN,ICX,PAX,BCD,KMD,LSK,WAVES,REP,AOA,NPXS,DGB,HC,THR,NANO,BCN,QNT,ZRX,QBIT,KCS,ABBC,SC,MONA,INB,BTS,NRG,BTM,LAMB,ETP,ZIL,XVG,IOST,THETA,EKT,STEEM,XIN,AE,GXC,SAI,WTC,MCO,ENJ,NEX,VEST,MAID,BZNT,CCC,SNT,XZC,SOLVE,ELF,NET,ARDR,DENT,MXM,REN,STRAT,GNT,JCT,SAN,XMX,ETN,RIF,R,NEXO,UUU,RET,GRIN,ZEN,NULS,ORBS,ELA,PAI,NAS,WAXP,ODE,MANA,FSN,FCT,ECOREAL,RDD,CMT,FTM,DGD,QASH,ENG,ARK,LOOM,EURS,LRC,MOAC,WICC,PPT,BEAM,BCZERO,HYN,INO,BNT,CELR,CRPT,TOMO,APL,ONE,KNC,IGNIS,MATIC,TT,POWR,BOX,IOTX,TFUEL,NEW,BIX,TRUE,AION,WAN,QKC,IPC,BRD,ETZ,FET,SNX,PIVX,PLC,POLY,NXT,DGTX,C20,ABT,RHOC,BHP,CSC,STORJ,VERI,AGVC,ANKR,ICN,GAS,RLC,META,CTXC,UNO,FX,NKN,ANT,LINA,FUN,LTO,SKY,CNX,EDO,GNO,PART,BTU,TNT,UGAS,KAN,BFT,MTL,TTC
2019-07-21,BTC,ETH,XRP,LTC,BCH,BNB,USDT,EOS,BSV,TRX,XLM,ADA,XMR,LEO,DASH,NEO,LINK,MIOTA,ATOM,XTZ,ETC,XEM,MKR,ONT,ZEC,BTG,CRO,USDC,INO,VSYS,DOGE,VET,EGT,SLV,BAT,QTUM,DCR,OMG,HT,BTT,TUSD,RVN,HEDG,PAX,LSK,HOT,NANO,AOA,ICX,BCD,WAVES,THR,ZRX,NPXS,DGB,HC,REP,QBIT,KMD,BCN,KCS,BTM,BTS,MONA,SC,IOST,EKT,LAMB,QNT,THETA,NRG,INB,XIN,ZIL,XVG,NET,GXC,ABBC,JCT,ETP,AE,STEEM,SAI,NEX,XZC,SOLVE,REN,FXC,MCO,WTC,SNT,MAID,VEST,CCC,ENJ,ARDR,ELF,GNT,XMX,SAN,MXM,WAXP,RIF,STRAT,DENT,CHZ,UUU,NEXO,ETN,LA,MANA,GRIN,CIX100,ODE,R,NAS,ELA,PAI,ZEN,ORBS,NULS,ECOREAL,QASH,RDD,GRN,FCT,FSN,DGD,PPT,REPO,LOOM,FTM,APL,ARK,EURS,VERI,BCZERO,CMT,MOAC,LRC,TOMO,CRPT,ENG,IGNIS,WICC,BEAM,POWR,TRUE,KNC,CELR,BNT,ONE,RET,HYN,IOTX,SNX,LINA,QKC,AION,BTU,MATIC,BIX,ABT,NEW,ANKR,BHD,WAN,PIVX,TT,TFUEL,BOX,AGVC,DGTX,ETZ,PLC,FET,POLY,IPC,BRD,BHP,UIP,RHOC,TTC,FX,STORJ,GAS,NXT,ANT,DEX,EDO,SKY,META,RLC,FUN,CSC,LTO,ITC,FST,TEL,DRGN
2019-07-28,BTC,ETH,XRP,LTC,BCH,BNB,USDT,EOS,BSV,XLM,ADA,TRX,XMR,LEO,DASH,NEO,MIOTA,LINK,ATOM,XTZ,ETC,MKR,XEM,ONT,ZEC,VSYS,CRO,USDC,INO,DOGE,BTG,BAT,SLV,VET,EGT,QTUM,DCR,HT,HEDG,OMG,TUSD,RVN,PAX,NANO,BTT,LSK,BCD,HOT,ZRX,WAVES,THR,NPXS,ICX,KMD,AOA,DGB,HC,MONA,REP,BTS,BCN,QBIT,BTM,KCS,SC,IOST,THETA,EKT,INB,XIN,NRG,LAMB,QNT,REN,XVG,NEX,ZIL,GXC,AE,STEEM,WTC,SAI,NET,ABBC,XZC,FXC,MCO,SNT,ARDR,ENJ,VEST,SOLVE,JCT,NEXO,MAID,ELF,GNT,UIP,MXM,ETP,CCC,UUU,WAXP,XMX,STRAT,RIF,ZEN,FSN,GRIN,R,FTM,DENT,PAI,SAN,ETN,ARK,CHZ,RDD,NAS,ECOREAL,CIX100,MANA,ODE,ELA,LA,PPT,NULS,DGD,FCT,QASH,ORBS,FX,TRXC,LRC,TOMO,EURS,FST,REPO,LOOM,VERI,GRN,CMT,AION,IGNIS,ENG,TRUE,BCZERO,MOAC,KNC,POWR,WAN,BNT,SNX,RET,WICC,QKC,BIX,HYN,TFUEL,PIVX,CELR,CRPT,AGVC,BHD,NEW,BEAM,ONE,APL,MATIC,PLC,ABT,IOTX,BTU,DGTX,TT,C20,BHP,IPC,LINA,BOX,ANT,STORJ,POLY,TEL,BZ,BRD,FET,RLC,META,DRGN,NXT,ULT,GAS,RHOC,BFT,ITC,SYS,CTXC,SKY,TTC
